user_id,stance_label,full_text,retweet_count,favorite_count,moral
1.24e+18,1,RT @normanswan: The Delta Variant Is a Grave Danger to the Unvaccinated https://t.co/YTztsJXR5S,390,0,0.0
1.24e+18,1,RT @dgurdasani1: We can't calculate vaccine efficacy from these data.  We all want to believe these vaccines are highly effective against d…,208,0,0.0
1.24e+18,1,"RT @YouAreLobbyLud: Delta is a different beast. Israel is vaccinated with Pfizer. Australia is, to all intents and purposes, unvaccinated a…",27,0,0.0
1.24e+18,1,RT @chrischirp: 27. Israel - a highly vaxxed country with hardly any covid - supported its vax roll out with many public health measures.…,254,0,0.0
1.24e+18,1,"RT @latikambourke: Scott Morrison's trip to Singapore next week will be the third in as many months that an Australian cabinet member, full…",123,0,0.0
1.24e+18,1,"RT @ASlavitt: COVID Update July 10, 2021: 2021 will be the year of the Unvaccinated Pandemic.

Vaccinated or not, there are implications fo…",1595,0,0.0
1.24e+18,1,"RT @JudyandHuahua: @QandA Uk 60% fully vaccinated high but not enough to stop their impending third wave,as predicted by SAGE @chrischirp @…",2,0,0.0
1.24e+18,1,RT @Qldaah: Reports that SummitCare workers are still unvaccinated. Dr Kerry Chant says an outreach team has been sent to administer the va…,27,0,0.0
1.24e+18,1,"RT @YouAreLobbyLud: This is why only the strictest lockdowns, implemented early, have any chance of containing Delta, especially in an UNVA…",32,0,0.0
1.24e+18,1,RT @PMGPSC: What happens when you have a plan,14,0,0.0
1.24e+18,1,@itjohnstone @VicGovDH @VictorianCHO @DanielAndrewsMP @uniaus @NTEUNational @NTEUVictoria Sunday is worrying me. I want to hear about what has been done to prepare schools. Millions have been spent on vaccinations which is great but our under 12s are unvaccinated &amp; we need to ensure all primary schools have safe air to prevent mass infections.,0,1,1.0
1.24e+18,1,"RT @frilly_edges: When you say ""this will be a pandemic of the unvaccinated"" @DanielAndrewsMP it's still a pandemic, there is no vaccine fo…",2,0,0.0
